name,url,ingredients,rating,rating_count,image_url
Award Winning Soft Chocolate Chip Cookies,https://www.allrecipes.com/recipe/15004/award-winning-soft-chocolate-chip-cookies/,"4 ½ cups all-purpose flour ; 2 teaspoons baking soda ; 2 cups butter, softened ; 1 ½ cups packed brown sugar ; ½ cup white sugar ; 2 (3.4 ounce) packages instant vanilla pudding mix ; 4  eggs ; 2 teaspoons vanilla extract ; 4 cups semisweet chocolate chips ; 2 cups chopped walnuts  (Optional)",4.66,11006,https://www.allrecipes.com/thmb/F72Sf44tBMxPV5ouiz7QCJD2Asg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4533707-215c8b63f7ba4fd697a210343739c5f8.jpg
Mom's Zucchini Bread,https://www.allrecipes.com/recipe/6698/moms-zucchini-bread/,3 cups all-purpose flour ; 1 teaspoon salt ; 1 teaspoon baking soda ; 1 teaspoon baking powder ; 1 tablespoon ground cinnamon ; 3  eggs ; 1 cup vegetable oil ; 2 ¼ cups white sugar ; 3 teaspoons vanilla extract ; 2 cups grated zucchini ; 1 cup chopped walnuts,4.76,10723,https://www.allrecipes.com/thmb/SuFyebthQYoEoz1-rSYGvVagnuk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/AR-6698-moms-zucchini-bread-DDMFS-4x3-72c63ca7ff82453d8c353aa73715374f.jpg
Broiled Tilapia Parmesan,https://www.allrecipes.com/recipe/50644/broiled-tilapia-parmesan/,"½ cup Parmesan cheese ; ¼ cup butter, softened ; 3 tablespoons mayonnaise ; 2 tablespoons fresh lemon juice ; ¼ teaspoon dried basil ; ¼ teaspoon ground black pepper ; ⅛ teaspoon onion powder ; ⅛ teaspoon celery salt ; 2 pounds tilapia fillets",4.71,10219,https://www.allrecipes.com/thmb/e9X-yE0lrXInfcNAgTZ9QwbqPm8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7005538-broiled-tilapia-parmesan-Tammy-Lynn-1x1-1-27f610e29ae24720922a629a09298b3b.jpg
Downeast Maine Pumpkin Bread,https://www.allrecipes.com/recipe/6820/downeast-maine-pumpkin-bread/,1 (15 ounce) can pumpkin puree ; 4  eggs ; 1 cup vegetable oil ; ⅔ cup water ; 3 cups white sugar ; 3 ½ cups all-purpose flour ; 2 teaspoons baking soda ; 1 ½ teaspoons salt ; 1 teaspoon ground cinnamon ; 1 teaspoon ground nutmeg ; ½ teaspoon ground cloves ; ¼ teaspoon ground ginger,4.81,10163,https://www.allrecipes.com/thmb/6L-00kD_baMzMjuvcWkE74GBiZQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6820-downeast-maine-pumpkin-bread-DDMFS-4x3-d599049115e54984b2e898d925fc272b.jpg
Slow Cooker Chicken and Dumplings,https://www.allrecipes.com/recipe/8941/slow-cooker-chicken-and-dumplings/,"4  skinless, boneless chicken breast halves ; 2 tablespoons butter ; 2 (10.75 ounce) cans  condensed cream of chicken soup ; 1  onion, finely diced ; 2 (10 ounce) packages refrigerated biscuit dough, torn into pieces",4.37,9803,https://www.allrecipes.com/thmb/rM5ofnjHsChJKHrPFTPzGDAHpzY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8941-slow-cooker-chicken-and-dumplings-DDMFS-4x3-0be0b1895efe4983acfc38ad3acc0fa2.jpg
Awesome Slow Cooker Pot Roast,https://www.allrecipes.com/recipe/16066/awesome-slow-cooker-pot-roast/,2 (10.75 ounce) cans  condensed cream of mushroom soup ; 1 (1 ounce) package dry onion soup mix ; 1 ¼ cups water ; 5 ½ pounds pot roast,4.64,9774,https://www.allrecipes.com/thmb/ptbBiDB1ps8ubanL8SSOvaQ_jgo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/16066awesome-slow-cooker-pot-roastfabeveryday4x3-61356415a7a84fa9b442962db7b8ddae.jpg
Brown Sugar Meatloaf,https://www.allrecipes.com/recipe/25203/brown-sugar-meatloaf/,"½ cup packed brown sugar ; ½ cup ketchup ; 1 ½ pounds lean ground beef ; ¾ cup milk ; 2  eggs ; 1 ½ teaspoons salt ; ¼ teaspoon ground black pepper ; 1 small onion, chopped ; ¼ teaspoon ground ginger ; ¾ cup finely crushed saltine cracker crumbs",4.58,9074,https://www.allrecipes.com/thmb/epCvRL7ANd7heL3YuXGMjwmZijk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/AR-25203-brown-sugar-meatloaf-3x4-92bcdcd6a10446b08c9dc5a1dd523114.jpg
Baked Ziti I,https://www.allrecipes.com/recipe/11758/baked-ziti-i/,"1 pound dry ziti pasta ; 1  onion, chopped ; 1 pound lean ground beef ; 2 (26 ounce) jars spaghetti sauce ; 6 ounces provolone cheese, sliced ; 1 ½ cups sour cream ; 6 ounces mozzarella cheese, shredded ; 2 tablespoons grated Parmesan cheese",4.7,8632,https://www.allrecipes.com/thmb/YP8Y1qn9kAwRDYyf0wXpZP5JilI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/AR-JF-11758-Baked-Ziti-ddmfs-3x4-0630757a10b1492e85daab40662225b3.jpg
Easy Meatloaf,https://www.allrecipes.com/recipe/16354/easy-meatloaf/,"1 ½ pounds ground beef ; 1  egg ; 1  onion, chopped ; 1 cup milk ; 1 cup dried bread crumbs ;   salt and pepper to taste ; 2 tablespoons brown sugar ; 2 tablespoons prepared mustard ; ⅓ cup ketchup",4.59,8459,https://www.allrecipes.com/thmb/q2i_L11qt7QzJ7gl66atPJmKuU0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/16354-easy-meatloaf-DDMFS-0034-5186-hero-4x3-30547610d0f64d2fb3c25c0cab909af6.jpg
Easy Sugar Cookies,https://www.allrecipes.com/recipe/9870/easy-sugar-cookies/,"2 ¾ cups all-purpose flour ; 1 teaspoon baking soda ; ½ teaspoon baking powder ; 1 cup butter, softened ; 1 ½ cups white sugar ; 1  egg ; 1 teaspoon vanilla extract",4.47,8016,https://www.allrecipes.com/thmb/XSJoH98eVnTCnaE6lTcDpYHbalw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9870-easy-sugar-cookies-mfs356-1-8c317695c5b645a48f6b20d1b97d3c93.jpg
Boilermaker Tailgate Chili,https://www.allrecipes.com/recipe/78299/boilermaker-tailgate-chili/,"2 pounds ground beef chuck ; 1 pound bulk Italian sausage ; 3 (15 ounce) cans chili beans, drained ; 1 (15 ounce) can chili beans in spicy sauce ; 2 (28 ounce) cans diced tomatoes with juice ; 1 (6 ounce) can tomato paste ; 1 large yellow onion, chopped ; 3 stalks celery, chopped ; 1  green bell pepper, seeded and chopped ; 1  red bell pepper, seeded and chopped ; 2  green chile peppers, seeded and chopped ; 1 tablespoon bacon bits ; 4 cubes beef bouillon ; ½ cup beer ; ¼ cup chili powder ; 1 tablespoon Worcestershire sauce ; 1 tablespoon minced garlic ; 1 tablespoon dried oregano ; 2 teaspoons ground cumin ; 2 teaspoons hot pepper sauce (e.g. Tabasco™) ; 1 teaspoon dried basil ; 1 teaspoon salt ; 1 teaspoon ground black pepper ; 1 teaspoon cayenne pepper ; 1 teaspoon paprika ; 1 teaspoon white sugar ; 1 (10.5 ounce) bag corn chips such as Fritos® ; 1 (8 ounce) package shredded Cheddar cheese",4.82,7975,https://www.allrecipes.com/thmb/9k2-h_-0wukNxOIFuIkn2GauRjk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/78299-boilermaker-tailgate-chili-ddmfs-hero-3x4-1195-670ba950f0e14209aa304c1dbf2b874f.jpg
Apple Crisp II,https://www.allrecipes.com/recipe/12409/apple-crisp-ii/,"10 cups all-purpose apples, peeled, cored and sliced ; 1 cup white sugar ; 1 tablespoon all-purpose flour ; 1 teaspoon ground cinnamon ; ½ cup water ; 1 cup quick-cooking oats ; 1 cup all-purpose flour ; 1 cup packed brown sugar ; ¼ teaspoon baking powder ; ¼ teaspoon baking soda ; ½ cup butter, melted",4.7,7964,https://www.allrecipes.com/thmb/G1ETl0aSJafMaQAQIwV2AFR1Lzs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12409-apple-crisp-II-MFS-033-beauty1-4x3-e7f6d6c193484e0daa43e571723ff16e.jpg
Taco Seasoning I,https://www.allrecipes.com/recipe/46653/taco-seasoning-i/,1 tablespoon chili powder ; ¼ teaspoon garlic powder ; ¼ teaspoon onion powder ; ¼ teaspoon crushed red pepper flakes ; ¼ teaspoon dried oregano ; ½ teaspoon paprika ; 1 ½ teaspoons ground cumin ; 1 teaspoon sea salt ; 1 teaspoon black pepper,4.82,7762,https://www.allrecipes.com/thmb/lFItiXGK2iNuR8CxhcY2KgSkkUQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/46653-taco-seasoningi-LSH-4x3-8e914bd4bde34900a66ad9fbb2f7dcb3.jpg
Baked Teriyaki Chicken,https://www.allrecipes.com/recipe/9023/baked-teriyaki-chicken/,"1 tablespoon cornstarch ; 1 tablespoon cold water ; ½ cup white sugar ; ½ cup soy sauce ; ¼ cup cider vinegar ; 1 clove garlic, minced ; ½ teaspoon ground ginger ; ¼ teaspoon ground black pepper ; 12  skinless chicken thighs",4.65,7742,https://www.allrecipes.com/thmb/LLnvqnBTEErWK95wDd2amICoVHY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9023-baked-teriyaki-chicken-DDMFS-4x3-8fc9cd3743714eedad57edb8bda8e59b.jpg
Too Much Chocolate Cake,https://www.allrecipes.com/recipe/7565/too-much-chocolate-cake/,1 (18.25 ounce) package devil's food cake mix ; 1 (5.9 ounce) package instant chocolate pudding mix ; 1 cup sour cream ; 1 cup vegetable oil ; 4  eggs ; ½ cup warm water ; 2 cups semisweet chocolate chips,4.79,7645,https://www.allrecipes.com/thmb/W1PGe_JiywuFg7KsTEGN5A6tBEw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7565-too-much-chocolate-cake-DDMFS-4x3-867e79bd2603472987ae69deabcaa740.jpg
Sloppy Joes II,https://www.allrecipes.com/recipe/24264/sloppy-joes-ii/,1 pound lean ground beef ; ¼ cup chopped onion ; ¼ cup chopped green bell pepper ; ½ teaspoon garlic powder ; 1 teaspoon prepared yellow mustard ; ¾ cup ketchup ; 3 teaspoons brown sugar ;   salt to taste ;   ground black pepper to taste,4.67,7626,https://www.allrecipes.com/thmb/ALLMxp_JsluPy2d3x1ZZYr1AHxk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/24264-sloppy-joes-dianne-1x1-1-ca246f276afe4196b0ea921df2574466.jpg
Slow Cooker Chicken Taco Soup,https://www.allrecipes.com/recipe/70343/slow-cooker-chicken-taco-soup/,"1  onion, chopped ; 1 (16 ounce) can chili beans ; 1 (15 ounce) can black beans ; 1 (15 ounce) can whole kernel corn, drained ; 1 (8 ounce) can tomato sauce ; 1 (12 fluid ounce) can or bottle beer ; 2 (10 ounce) cans diced tomatoes with green chilies, undrained ; 1 (1.25 ounce) package taco seasoning ; 3  whole skinless, boneless chicken breasts ; 1 (8 ounce) package shredded Cheddar cheese  (Optional); 1 (8 ounce) container sour cream ; 1 cup crushed tortilla chips",4.68,7384,https://www.allrecipes.com/thmb/0cEXHzDb_IMhLiyKZESGJqs_ngg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/AR-70343-slow-cooker-chicken-taco-soup-ddmfs-4x3-beauty-d46051c71759481b897928b266801bdc.jpg
Chantal's New York Cheesecake,https://www.allrecipes.com/recipe/8350/chantals-new-york-cheesecake/,"15  graham crackers, crushed ; 2 tablespoons butter, melted ; 4 (8 ounce) packages cream cheese ; 1 ½ cups white sugar ; ¾ cup milk ; 4  eggs ; 1 cup sour cream ; 1 tablespoon vanilla extract ; ¼ cup all-purpose flour",4.71,7311,https://www.allrecipes.com/thmb/v8JZdIICA1oerzX0L-KzyW2w9hM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8350-chantals-new-york-cheesecake-DDMFS-4x3-426569e82b4142a6a1ed01e068544245.jpg
Carrot Cake III,https://www.allrecipes.com/recipe/7402/carrot-cake-iii/,"4  eggs ; 1 ¼ cups vegetable oil ; 2 cups white sugar ; 2 teaspoons vanilla extract ; 2 cups all-purpose flour ; 2 teaspoons baking soda ; 2 teaspoons baking powder ; ½ teaspoon salt ; 2 teaspoons ground cinnamon ; 3 cups grated carrots ; 1 cup chopped pecans ; ½ cup butter, softened ; 8 ounces cream cheese, softened ; 4 cups confectioners' sugar ; 1 teaspoon vanilla extract ; 1 cup chopped pecans",4.69,7200,https://www.allrecipes.com/thmb/_CvLWNGO-ICUrfdkOmgUZYmrKSI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/AR-7402-carrot-cake-DDMFS-4x3-3e7c34c1048e444f989192a700134bef.jpg
Chicken Cordon Bleu II,https://www.allrecipes.com/recipe/8669/chicken-cordon-bleu-ii/,"6  skinless, boneless chicken breast halves ; 6 slices Swiss cheese ; 6 slices ham ; 3 tablespoons all-purpose flour ; 1 teaspoon paprika ; 6 tablespoons butter ; ½ cup dry white wine ; 1 teaspoon chicken bouillon granules ; 1 tablespoon cornstarch ; 1 cup heavy whipping cream",4.78,6999,https://www.allrecipes.com/thmb/fKMdRsiC3KZ-h1fHqLjoPqaDRYg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4535588-chicken-cordon-bleu-ii-France-C-1x1-1-348f734924ab42c8a64f270c5088ee24.jpg
Mrs. Sigg's Snickerdoodles,https://www.allrecipes.com/recipe/10687/mrs-siggs-snickerdoodles/,"½ cup butter, softened ; ½ cup shortening ; 1 ½ cups white sugar ; 2  eggs ; 2 teaspoons vanilla extract ; 2 ¾ cups all-purpose flour ; 2 teaspoons cream of tartar ; 1 teaspoon baking soda ; ¼ teaspoon salt ; 2 tablespoons white sugar ; 2 teaspoons ground cinnamon",4.74,6904,https://www.allrecipes.com/thmb/BeI0xeb5qBxRZ4MHHlVxbmRCXYw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/10687-Mrs-Siggs-Snickerdoodles-DDMFS-4x3-1145-27f69abf2dc64d27a402175e6baa2f2f.jpg
Big Soft Ginger Cookies,https://www.allrecipes.com/recipe/17165/big-soft-ginger-cookies/,"2 ¼ cups all-purpose flour ; 2 teaspoons ground ginger ; 1 teaspoon baking soda ; ¾ teaspoon ground cinnamon ; ½ teaspoon ground cloves ; ¼ teaspoon salt ; ¾ cup margarine, softened ; 1 cup white sugar ; 1  egg ; 1 tablespoon water ; ¼ cup molasses ; 2 tablespoons white sugar",4.74,6726,https://www.allrecipes.com/thmb/zc-xuObmGuIrtst1XWfqZbQHR5M=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/17165-Big-Soft-Ginger-Cookies-4x3-1199-4a88786d881f4d9d90d9eb2c252afee3.jpg
Zesty Slow Cooker Chicken Barbecue,https://www.allrecipes.com/recipe/65896/zesty-slow-cooker-chicken-barbecue/,"6  frozen skinless, boneless chicken breast halves ; 1 (12 ounce) bottle barbeque sauce ; ½ cup Italian salad dressing ; ¼ cup brown sugar ; 2 tablespoons Worcestershire sauce",4.58,6380,https://www.allrecipes.com/thmb/tkORu9eNLERlI9UjRN7H0rlH3p0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/65896-zesty-slow-cooker-chicken-barbecue-DDMFS-4x3-ea581cb4dc1442f5971b4cdd2c445f6b.jpg
Baked Pork Chops I,https://www.allrecipes.com/recipe/16348/baked-pork-chops-i/,"6  pork chops ; 1 teaspoon garlic powder ; 1 teaspoon seasoning salt ; 2  egg, beaten ; ¼ cup all-purpose flour ; 2 cups Italian-style seasoned bread crumbs ; 4 tablespoons olive oil ; 1 (10.75 ounce) can  condensed cream of mushroom soup ; ½ cup milk ; ⅓ cup white wine",4.55,6204,https://www.allrecipes.com/thmb/PDkHJAoJeHXrVICytUxgMK57cMI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/16348-baked-pork-chops-i-DDMFS-4x3-5150ad5af64042fca8b8e7e7e5fd43d5.jpg
Garlic Chicken,https://www.allrecipes.com/recipe/8652/garlic-chicken/,"¼ cup olive oil ; 2 cloves garlic, crushed ; ¼ cup Italian-seasoned bread crumbs ; ¼ cup grated Parmesan cheese ; 4  skinless, boneless chicken breast halves",4.57,6184,https://www.allrecipes.com/thmb/82xSWpLXTaTSvUBfx7mJl3GzoVk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4562452-garlic-chicken-AllrecipesPhoto-1x1-1-4a0b4a41e04d4a888b7b8811c2dd227a.jpg
Creamy Rice Pudding,https://www.allrecipes.com/recipe/24059/creamy-rice-pudding/,"¾ cup uncooked white rice ; 2 cups milk, divided ; ⅓ cup white sugar ; ¼ teaspoon salt ; 1  egg, beaten ; ⅔ cup golden raisins ; 1 tablespoon butter ; ½ teaspoon vanilla extract",4.74,5877,https://www.allrecipes.com/thmb/DzRDzQ4wiiV9dWWdCsn5sdXekuw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/AR-24059-creamy-rice-pudding-DDMFS-4x3-a47c1f5ad9d449c582d62e6e42da28ac.jpg
Banana Sour Cream Bread,https://www.allrecipes.com/recipe/6984/banana-sour-cream-bread/,"¼ cup white sugar ; 1 teaspoon ground cinnamon ; ¾ cup butter ; 3 cups white sugar ; 3  eggs ; 6  very ripe bananas, mashed ; 1 (16 ounce) container sour cream ; 2 teaspoons vanilla extract ; 2 teaspoons ground cinnamon ; ½ teaspoon salt ; 3 teaspoons baking soda ; 4 ½ cups all-purpose flour ; 1 cup chopped walnuts  (Optional)",4.77,5832,https://www.allrecipes.com/thmb/kcdxlIXhpJJUY08OMgsE1yLpX6U=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6984-banana-sour-cream-bread-DDMFS-4x3-42e521007c6241ca9db1a870f93d70b4.jpg
Chicken Marsala,https://www.allrecipes.com/recipe/8887/chicken-marsala/,"¼ cup all-purpose flour for coating ; ½ teaspoon salt ; ¼ teaspoon ground black pepper ; ½ teaspoon dried oregano ; 4  skinless, boneless chicken breast halves - pounded 1/4 inch thick ; 4 tablespoons butter ; 4 tablespoons olive oil ; 1 cup sliced mushrooms ; ½ cup Marsala wine ; ¼ cup cooking sherry",4.55,5737,https://www.allrecipes.com/thmb/3Wlwc5yDGFPIFPTj_PdWTYDqTL8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8887-chicken-marsala-DDMFS-4x3-a0be8776efe74429a586af0ac1d7c1dd.jpg
Maple Salmon,https://www.allrecipes.com/recipe/51283/maple-salmon/,"¼ cup maple syrup ; 2 tablespoons soy sauce ; 1 clove garlic, minced ; ¼ teaspoon garlic salt ; ⅛ teaspoon ground black pepper ; 1 pound salmon",4.67,5666,https://www.allrecipes.com/thmb/Igk94cV2EmK7VB3SsS0NHXKlIGw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/51283-RM-maple-salmon-ddmfs-3x4-2624-1e5a9dc354a54744b72c6e19e8fbbcca.jpg
Slow-Cooker Chicken Tortilla Soup,https://www.allrecipes.com/recipe/89539/slow-cooker-chicken-tortilla-soup/,"1 pound shredded, cooked chicken ; 1 (15 ounce) can whole peeled tomatoes, mashed ; 1 (10 ounce) can enchilada sauce ; 1 medium onion, chopped ; 1 (4 ounce) can chopped green chile peppers ; 2 cloves garlic, minced ; 2 cups water ; 1 (14.5 ounce) can chicken broth ; 1 teaspoon cumin ; 1 teaspoon chili powder ; 1 teaspoon salt ; ¼ teaspoon black pepper ; 1  bay leaf ; 1 (10 ounce) package frozen corn ; 1 tablespoon chopped cilantro ; 7  corn tortillas ;   vegetable oil",4.68,5582,https://www.allrecipes.com/thmb/W8GZ5wlhOQgoMgIWmziudSO-Gcg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/AR-89539-slow-cooker-chicken-tortilla-soup-DDMFS-4x3-27437114db5b46afb7ad139e0a6fbffe.jpg
Chewy Chocolate Chip Oatmeal Cookies,https://www.allrecipes.com/recipe/24445/chewy-chocolate-chip-oatmeal-cookies/,"1 cup butter, softened ; 1 cup packed light brown sugar ; ½ cup white sugar ; 2  eggs ; 2 teaspoons vanilla extract ; 1 ¼ cups all-purpose flour ; ½ teaspoon baking soda ; 1 teaspoon salt ; 3 cups quick-cooking oats ; 1 cup chopped walnuts ; 1 cup semisweet chocolate chips",4.54,5539,https://www.allrecipes.com/thmb/Wbb4FrsMVyLameKPWMyYAamP7cc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/24445-chewy-chocolate-chip-oatmeal-cookies-DDMFS-4x3-4e97a758a98640759903569ef637ac18.jpg
